개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
4641000,202546410000100001,공중화장실,법제3조제5호,세병공원(대로변),전북특별자치도 전주시 덕진구 세병로 177-44 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 1316,1,2,1,1,0,0,3,1,0,덕진구 공원녹지과,0632706319,상시,,201712,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,,,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100002,공중화장실,법제3조제5호,세병공원(물놀이터),전북특별자치도 전주시덕진구 세병로 177-52 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 1316,1,2,1,0,0,0,2,1,0,덕진구 공원녹지과,0632706319,상시,,201712,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,여자화장실,201905,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100003,공중화장실,법제3조제5호,세병공원(아파트쪽),전북특별자치도 전주시덕진구 세병로 177-98 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 1316,2,1,1,0,0,0,2,1,0,덕진구 공원녹지과,0632706319,상시,,201712,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100004,공중화장실,법제3조제5호,인후공원(류씨제각),전북특별자치도 전주시덕진구 안골3길 23-4,전북특별자치도 전주시 덕진구 인후동1가549-1,1,2,1,0,0,0,3,1,0,덕진구 공원녹지과,0632706319,상시,,201805,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,201502,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100005,공중화장실,법제3조제5호,인후공원(배수지),전북특별자치도 전주시 덕진구 안덕원3길 78-18 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가산41-11,2,1,0,0,0,0,2,0,0,덕진구 공원녹지과,0632706319,상시,,199804,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,201403,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100006,공중화장실,법제3조제5호,소공공원,전북특별자치도 전주시 덕진구 우아10길21-24,전북특별자치도 전주시 덕진구 우아동3가743-23,1,2,0,1,0,0,1,1,0,덕진구 공원녹지과,0632706319,상시,,202208,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,,,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100007,공중화장실,법제3조제5호,중상보공원,전북특별자치도 전주시 덕진구 정언신로158,전북특별자치도 전주시 덕진구 우아동2가907,2,2,0,0,0,0,2,1,0,덕진구 공원녹지과,0632706319,상시,,199807,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,,,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100008,공중화장실,법제3조제5호,아람길공원,전북특별자치도 전주시 덕진구 정언신로 131,전북특별자치도 전주시 덕진구 인후동1가858-3,2,2,0,0,0,0,2,0,0,덕진구 공원녹지과,0632706319,상시,,199812,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100009,공중화장실,법제3조제5호,건지산(장덕사),전북특별자치도 전주시 덕진구 오송로 26,전북특별자치도 전주시 덕진구 송천동1가164-1,1,1,1,0,0,0,1,1,0,덕진구 공원녹지과,0632706319,상시,,201012,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,,,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100010,공중화장실,법제3조제5호,붓내공원,전북특별자치도 전주시 덕진구 세병로54-27,전북특별자치도 전주시 덕진구 송천동2가1339,1,2,1,1,0,0,3,1,0,덕진구 공원녹지과,0632706319,상시,,201712,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,,,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
4641000,202546410000100011,공중화장실,법제3조제5호,팔복공원,전북특별자치도 전주시 덕진구 서귀로 107,전북특별자치도 전주시 덕진구 팔복동3가404,2,2,0,0,0,0,2,1,0,덕진구 공원녹지과,0632706319,상시,,200112,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,여자화장실,,2025-01-02,I,2026-05-15 18:43:46,2025-01-14 16:47:19
