연번,업종,업소명,주소(도로명)
1,중식,아서원,전북특별자치도 군산시 경암5길 63
2,미용업,어여미,전북특별자치도 군산시 축동안길 51
3,이용업,형제이용원,전북특별자치도 군산시 동메2길 32-1
4,목욕업,장수대중탕,전북특별자치도 군산시 문화1길 36
5,한식_일반,일출옥,전북특별자치도 군산시 구영6길 22-3
6,목욕업,두꺼비탕,전북특별자치도 군산시 동팔마길 31
7,한식_일반,제주도횟집,전북특별자치도 군산시 동메1길 9-2
8,한식_일반,선현대솥뚜껑갈비,전북특별자치도 군산시 서수송길 17
9,한식_일반,토속해장국,전북특별자치도 군산시 신촌2길 8-2
10,한식_일반,명산칼국수,전북특별자치도 군산시 오룡로 57-2
11,한식_일반,대명옥,전북특별자치도 군산시 구영3길 50
12,한식_일반,은혜식당,전북특별자치도 군산시 구시장로 24
13,중식,가야장,전북특별자치도 군산시 경암4길 4
14,한식_일반,미주옥,전북특별자치도 군산시 구영7길 133-4
15,한식_일반,나라식당,전북특별자치도 군산시 서흥안2길 30
16,한식_일반,꼬꼬꽥꽥,전북특별자치도 군산시 백릉로 35
17,미용업,머리박사,"전북특별자치도 군산시 문화로36, 203호"
18,한식_일반,이포크정육식당,"전북특별자치도 군산시 미원로61, 102호"
19,한식_육류,옥천왕족발,전북특별자치도 군산시 상나운3길 35
20,한식_육류,수연축산유통,전북특별자치도 군산시 진포로 229
21,한식_육류,화끈장어&갈비살,전북특별자치도 군산시 하나운안1길 8-4
22,기타요식업,엘투와이투카페,전북특별자치도 군산시 월명1길 15-3
23,한식_일반,웅이집,전북특별자치도 군산시 오룡로 60-1
24,한식_일반,순이칼국수,전북특별자치도 군산시 조촌4길 33-4
25,한식_일반,선주네포차,전북특별자치도 군산시 수송안9길 5
26,한식_일반,호연식당,전북특별자치도 군산시 우체통거리2길 42
27,한식_일반,얼큰이칼국수,전북특별자치도 군산시 구시장로 16
28,미용업,동신미용실,전북특별자치도 군산시 창성3길 13(개복동)
29,한식_육류,전주양가양갈비전문점,"전북특별자치도 군산시 장미1길 4, 1층(중앙로1가)"
30,한식_일반,국일식당,전북특별자치도 군산시 평화길 99-4 (죽성동) 국일식당
31,한식_육류,하루하루30족발,"전북특별자치도 군산시 번영로 154, 1동 101호(경장동)"
32,한식_일반,군산꽁보리,"전북특별자치도 군산시 신금길 18 (신영동) 2층, 414호(공설시장)"
33,한식_일반,두리식당,전북특별자치도 군산시 미원안길 8 (미원동)
34,한식_육류,건행사,전북특별자치도 군산시 문화로 194 (미장동)
35,한식_육류,장인족발,전북특별자치도 군산시 하나운로 37 (나운동)
36,한식_일반,청기와아구,전북특별자치도 군산시 진포로 133 (경장동)
37,미용업,디어왁싱,"전북특별자치도 군산시 궁포1로 24-3 (조촌동) 1층, 109호"
38,양식,베테랑돈까스,전북특별자치도 군산시 양안로 103-1 (조촌동) 조촌동
39,한식_일반,묵은지삼겹살,전북특별자치도 군산시 경암로 56 (경암동) 묵은지삼겹살
40,한식_육류,으뜸갈비,전북특별자치도 군산시 경암3길 5 (경암동) 으뜸갈비
41,기타요식업,커피에빠진호떡,전북특별자치도 군산시 황룡1길 29
42,일식,돔베초밥,"전북특별자치도 군산시 수송남로 2, 1층"
43,한식_일반,담다한식뷔페,"전북특별자치도 군산시 문화로 151, 1층"
44,한식_일반,달달장어,"전북특별자치도 군산시 남수송1길 7-4, 1층"
45,한식_일반,시장김밥,"전북특별자치도 군산시 신금길 18, 2층 402호"
46,한식_일반,제비제비수제비,"전북특별자치도 군산시 신금길 18, 2층 403호"
47,중식,청년미각,"전북특별자치도 군산시 신금길 18, 2층 1호"
48,양식,새콤달콤 돈까스,"전북특별자치도 군산시 신금길 18, 2층 4호"
49,중식,진성원,전북특별자치도 군산시 구암3.1로 70-1
50,중식,짬뽕일번지,전북특별자치도 군산시 상지곡안4길 13
51,한식_일반,모정식당,전북특별자치도 군산시 조촌4길 34-4
52,미용업,레인보우,"전북특별자치도 군산시 수송로 73, 105호"
53,미용업,블루컷,"전북특별자치도 군산시 공항로 118, 1층"
54,미용업,정이미용실,전북특별자치도 군산시 월명로 353번지
55,기타요식업,심도카페,전북특별자치도 군산시 부곡1길 44
56,미용업,본헤어,전북특별자치도 군산시 백릉로 35
57,미용업,라임헤어,전북특별자치도 군산시 미룡로 32
58,미용업,위트헤어,전북특별자치도 군산시 나운안2길 1
59,미용업,로즈미용실,전북특별자치도 군산시 나운로 39
60,미용업,K헤어,전북특별자치도 군산시 대명길 3
