연번,업소명,소재지,연락처,음식종류
1,계곡가든,전북특별자치도 군산시 개정면 금강로 470,063-453-0608,"꽃게장백반,꽃게찜, 꽃게탕"
2,군산한우촌,전북특별자치도 군산시 대학로 649 (신관동),063-465-6969,한우전문
3,바다회집현대코아점,전북특별자치도 군산시 문화안길 11 (나운동),063-466-1197,"회정식, 해물탕"
4,사골뚝배기,전북특별자치도 군산시 우체통거리1길 7 (신창동),063-445-1107,한우곰탕
5,쌍용반점,전북특별자치도 군산시 내항2길 121 (금동),063-443-1259,해물짬뽕
6,압강옥,전북특별자치도 군산시 삼수길 46 (사정동),063-452-2777,"쇠고기전골,냉면,갈비구이"
7,전주우족설렁탕,전북특별자치도 군산시 대학로 88 (금광동),063-445-9502,"우족탕, 설렁탕"
8,남원용담골추어탕,"전북특별자치도 군산시 수송로 315, 101호,102호 (미장동)",063-467-7952,추어탕
9,등대로,전북특별자치도 군산시 비응로 71 (비응도동),,"해물샤브샤브,생선탕,퓨전일식"
10,새만금횟집,"전북특별자치도 군산시 비응안7길 13, 1.2층 (비응도동)",063-464-1001,"생선회,생선찜,생선탕"
11,스위트인디아,전북특별자치도 군산시 우체통거리1길 14 (신창동),063-445-8522,인도음식
12,장국명가,전북특별자치도 군산시 새터길 25 (구암동),063-443-3680,묵은지보쌈
13,콩뜰,"전북특별자치도 군산시 구영7길 21-9, 1층 (월명동)",,두부보쌈
14,은파아리울,"전북특별자치도 군산시 은파순환길 174-4,2층(미룡동)",063-464-9393,"파스타,피자"
15,궁전꽃게장본점,"전북특별자치도 군산시 궁포1로 24-5, 2층 203,204호 (조촌동)",063-466-6677,궁전꽃게장정식
16,갈비스토리,"전북특별자치도 군산시 하나운1길 15 (1,2)층 (나운동)",063-442-2832,해물갈비찜(돼지갈비 삭제)
17,고래면옥,전북특별자치도 군산시 나운5길 8 (나운동),063-468-1616,"냉면,버섯전골,삼겹살,갈비,한우"
18,군산떡갈비,전북특별자치도 군산시 미장6길 16 (미장동),063-467-8877,떡갈비
19,궁전갈치찜,전북특별자치도 군산시 구영6길 71 (신창동),063-445-7770,갈치찜
20,서우식당,전북특별자치도 군산시 남수송6길 7 (수송동),063-465-7322,아귀백반
21,남산식당,전북특별자치도 군산시 흥남2길 60 (동흥남동),063-442-4442,"꽃등심,안창살,육회, 삼겹살"
22,마루벌돌구이군산점,전북특별자치도 군산시 축동안길 56 (수송동),,"한우꽃등심,통삼겹살"
23,예토아명인,전북특별자치도 군산시 임피면 서원석곡로 602,063-452-2459,"냉면, 갈비"
24,모산방,"전북특별자치도 군산시 부원로 97-9, 1,2동 (산북동)",,퓨전한정식
25,삼미정,전북특별자치도 군산시 칠성5길 159 (소룡동),063-465-0775,"생선탕,생선찜"
26,신고궁한정식,전북특별자치도 군산시 조촌1길 10 (경장동),063-451-0111,한정식
27,신선가든,전북특별자치도 군산시 회현면 대위안길 45,063-466-6162,닭요리
28,어시장활어회직거래판매장,"전북특별자치도 군산시 신평길 20, 1동 1, 2층 (수송동)",063-471-8844,"생선회, 생선탕, 킹크랩찜"
29,장가네,전북특별자치도 군산시 비응동로 67 (비응도동),063-466-2995,"바지락죽,조개모듬칼국수"
30,제주도횟집,전북특별자치도 군산시 동메1길 9-2 (수송동),,"생선회,생선탕"
31,지미원,전북특별자치도 군산시 부곡1길 6 (나운동),063-463-3900,궁중한정식
32,풍천장어타운,전북특별자치도 군산시 번영로 370 (사정동),,풍천장어구이
33,한소끔,"전북특별자치도 군산시 백토로 284-8 (나운동, (1층, 2층))",,해물요리
34,해송,전북특별자치도 군산시 서수송1길 12-5 (나운동),063-466-0947,"생선회,생선찜,생선탕"
35,현대옥(미장점),"전북특별자치도 군산시 미장안7길 34, 1층 101호 (미장동)",063-452-9885,콩나물국밥
36,금강해물칼국수,"전북특별자치도 군산시 성산면 철새로 31, 201호",,"칼국수,돈가스"
37,라라코스트수송점,"전북특별자치도 군산시 월명로 254 (수송동, 202,203호)",063-466-3230,"스테이크, 필라프"
38,불끈낙지&보쌈,전북특별자치도 군산시 수송안길 25 (수송동),,"낙지볶음,보쌈"
39,신가네칼국수,"전북특별자치도 군산시 성산면 철새로 31, 101호",063-453-6333,"칼국수, 만두"
40,아리랑,"전북특별자치도 군산시 해망로 224, 1동 (장미동)",,"흰찰쌀보리비빔밥, 황금박대정식"
41,온새미로,전북특별자치도 군산시 신설2길 5-6 (나운동),063-462-7467,한정식
42,웰미가수송점,"전북특별자치도 군산시 수송1길 17, 1층 (수송동)",,콩나물국밥
43,풍천장어타운 경암점,"전북특별자치도 군산시 진포로 199, 2층 (경암동)",,장어구이
44,화심순두부군산점,"전북특별자치도 군산시 미장서로 40, 2층 (수송동)",063-910-0051,순두부
45,명륜진사갈비 조촌점,전북특별자치도 군산시 진포로 211 (경암동),063-445-8500,숯불돼지갈비
46,매주육일,전북특별자치도 군산시 궁포3로 13 (조촌동),,이베리코 돼지고기
47,소담촌,"전북특별자치도 군산시 조촌4길 3, 나동 201호 (조촌동)",,샤브샤브
48,완도회집,"전북특별자치도 군산시 비응로 43, 1,2층 (비응도동)",063-462-0621,"회정식, 해물탕"
49,지수만풍천민물장어,"전북특별자치도 군산시 현충로 93-2, 2층 (나운동)",,장어구이
50,째보식당 본점,"전북특별자치도 군산시 구영3길 70, 1층(신창동)",,"꽃게장, 해물간장모듬장"
51,명품한우소담,전북특별자치도 군산시 옥산면 옥산로 141,,소고기구이
52,판교도토리묵,전북특별자치도 군산시 현충로 96(나운동),,도토리면요리
